757225.683890379,0,-7950869.68084898,-757225.683890379,0,-7950869.68084898,0,0,0,0,0,0,0,0,0
0,322580000,0,0,-322580000,0,0,0,0,0,0,0,0,0,0
-7950869.68084898,0,111312175.531886,7950869.68084898,0,55656087.7659429,0,0,0,0,0,0,0,0,0
-757225.683890379,0,7950869.68084898,37365450.7093944,5750920.8968789,7919366.55609363,-36608225.025504,-5750920.8968789,-31503.1247553526,0,0,0,0,0,0
0,-322580000,0,5750920.89687889,323495171.822667,200474.430261335,-5750920.89687889,-915171.822667331,200474.430261335,0,0,0,0,0,0
-7950869.68084898,0,55656087.7659429,7919366.55609363,200474.430261335,116105423.69542,31503.1247553526,-200474.430261335,2396624.08176705,0,0,0,0,0,0
0,0,0,-36608225.025504,-5750920.8968789,31503.1247553526,73216450.051008,0,63006.2495107052,-36608225.025504,5750920.8968789,31503.1247553526,0,0,0
0,0,0,-5750920.89687889,-915171.822667331,-200474.430261335,0,1830343.64533466,0,5750920.89687889,-915171.822667331,200474.430261335,0,0,0
0,0,0,-31503.1247553526,200474.430261335,2396624.08176705,63006.2495107052,0,9586496.32706821,-31503.1247553526,-200474.430261335,2396624.08176705,0,0,0
0,0,0,0,0,0,-36608225.025504,5750920.8968789,-31503.1247553526,36663237.1478379,-5750920.8968789,546124.15975077,-55012.1223339164,0,577627.284506122
0,0,0,0,0,0,5750920.89687889,-915171.822667331,-200474.430261335,-5750920.89687889,64202295.6321911,-200474.430261335,0,-63287123.8095238,0
0,0,0,0,0,0,31503.1247553526,200474.430261335,2396624.08176705,546124.15975077,-200474.430261335,12880030.1466198,-577627.284506122,0,4043390.99154286
0,0,0,0,0,0,0,0,0,-55012.1223339164,0,-577627.284506122,55012.1223339164,0,-577627.284506122
0,0,0,0,0,0,0,0,0,0,-63287123.8095238,0,0,63287123.8095238,0
0,0,0,0,0,0,0,0,0,577627.284506122,0,4043390.99154286,-577627.284506122,0,8086781.98308571
